,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10,keyphrase 11,keyphrase 12,keyphrase 13,keyphrase 14,keyphrase 15
16,doc 17,bloom filter,summari ticket,bullet,high bandwidth data dissemin,high bandwidth data dissemin use,prefer method for deliv content,tremend promis for multicast-styl applic,overlay tree,build high bandwidth overlay tree,high bandwidth data dissemin center,random subset contain summari ticket,effici overlay tree,miss data item,miss data,high bandwidth overlay mesh
17,doc 18,apocrita,node,file,common place broadband internet access,index,distribut index,document,document for variou purpos,solut for local document,index node,initi node,necessari network infrastructur,peer,present apocrita,need for document
18,doc 19,share work environ for group,version number,typic internet,millisecond round trip time,common task,cooper web cach techniqu,typic internet latenc buddycach,page version number,typic internet latenc,perform penalti for transact applic,byte for program languag object,high network latenc,buddycach,analyt result,network latenc
19,doc 20,context provid,negoti,context inform,provid context,pervas comput,pervas environ,appropri context,appropri context inform,context-awar applic util context inform,reward,appropri context provid,context-awar applic,negoti process,challeng problem,util function
20,doc 21,pairwis key,sensor network,pairwis key establish,pairwis key establish algorithm,new pairwis key establish algorithm,hierarch hypercub model,sensor node,direct pairwis key,key predistribut,key predistribut scheme,tradit pairwis key establish techniqu,sensor,node b,basic probabilist key pre-distribut scheme,hypercub model
21,doc 22,encrypt,access control,mechan for authoris event client,event type,commun mechan for build internet-scal,enforc access control,event content,broker,access control polici,broker network,event type specif encrypt key,model for encrypt event content,fine-grain access control,encrypt event content,encrypt event
22,doc 23,peer,congest control,parent,deliv qualiti,avail bandwidth,peer-to-p overlay for stream applic,high churn rate,overlay,key compon,particip peer,local imag,solut for construct peer-to-p overlay,bandwidth,implicit signal,parent select
23,doc 24,edg index,index method,biggest challeng for game develop,object pop problem,real time,view model,virtual environ,cell evalu,spatial databas problem,spatial index method,tradit visibl determin approach,effici spatial index structur,time visibl determin,dynam extens,object pop
24,doc 25,repeat combinatori auction,auction,bid,node hour,mirag,resourc alloc,combinatori auction,node,strateg behavior,basi for motiv research effort,market-bas resourc alloc,resourc,alloc,strategyproof,hour
25,doc 26,techniqu for determin expans term,queri,user person inform repositori,user interfac for seek inform,user person inform,enhanc method for web retriev,desktop,expans,person inform repositori,global co-occurr statist,expans term for web search,expans process adapt,queri expans,person inform,expans term
26,doc 27,contextu factor,domain model,queri,previou studi,term relat,context word,domain,user profil,document,inform need,user inform need,inform retriev user queri,use word sens disambigu,languag model,queri domain
27,doc 28,diari studi,re-find,email,pim,web page,re-find inform,re-find task,perform pim evalu,email messag,pim evalu,person collect,person inform,diari,control laboratori pim evalu,email re-find
28,doc 29,passag,novelti detect,adapt filter,rank list,logist regress,semi-automat procedur for acquir rule,answer key,nugget,arbitrari span,user feedback,inform distil,novelti,strategi for long-last inform need,novelti detect compon,encourag util enhanc
29,doc 30,bayesian hierarch model,bayesian hierarch linear model,m step,hierarch model,user m,user model,bayesian hierarch model approach,user,custom recommend for addit product,user profil,e step,recommend,model,numer solut,gener bayesian hierarch linear model
30,doc 31,confid,judgment,relev judgment,document,test collect,robust test collect,confid estim,relev,acquir relev judgment,maximum entropi distribut for relev,reusabl test collect,previou work,result,unjudg document,probabilist model for expert combin
31,doc 32,search result,organ search result,search engin,past queri,search engin log,commerci search engin log data,search log,cluster search result,southwestern colleg jaguar softbal team,cluster,star cluster algorithm,engin log,relev document,search engin log data,log-bas method
32,doc 33,global regular,cluster,local regular,document,data point,regular linear label predictor,regular paramet,clgr,typic bottom-up hierarch cluster method,dataset,label predictor,spectral cluster,specifi search for document,document cluster,document cluster method
33,doc 34,imag,activ learn,relev feedback,imag retriev,relev feedback imag retriev,real world,laplacian optim design,experiment design,novel activ learn algorithm,activ learn algorithm,relev feedback imag,low level visual featur,optim experiment design,geometr structur,high level semant concept
34,doc 35,snippet,document,search engin,snippet gener,snippet engin,cach,snippet gener time,sentenc,compress,gener snippet,web search engin,snippet gener process,fast snippet gener,gener algorithm for score sentenc,queri
35,doc 36,caption,search engin,commerci web search engin,clickthrough,queri term,web search,snippet,web search engin,simpl caption featur,clickthrough invers,search engin log,caption featur,user web search behavior,snippet gener for web caption,major commerci web search
36,doc 37,exploratori task,popular destin,trail,novel web search interact featur,basi for comput sourc author,destin,web search interact,search result,unaid web search,web activ log contain search,exploratori search task,web search,web search result,queri,destin suggest
37,doc 38,post list,cach,new algorithm for static cach,hit rate,static cach,cach post list,search engin,web search engin,cach queri answer,miss rate,cach queri result,queri log,wide area network,queri term,dynam cach
38,doc 39,search engin,prune,prune polici,invert index,invert list,prune index,correct indic function,queri load,prune index for variou reason,web search engin,fierc competit,document,two-tier index architectur search engin,new result comput algorithm,high qualiti search result
39,doc 40,topic segment,segment,term weight,mutual inform,share topic,stop word,term cluster,weight mutual inform,share topic detect,previou research,multi-docu segment,multipl document,tradit approach use similar measur,document,soft classif use term weight
40,doc 41,aperiod,unsupervis greedi event detect algorithm,event,power spectrum,period event,spectral analysi,event detect,featur for differ event characterist,unsupervis greedi event detect,news stream,aperiod event,analyz featur trajectori,featur,repres featur,word featur for heterogen event
41,doc 42,stori,compar time,tf-idf model,new event,differ effect for ned task,detect procedur,differ effect for differ class,new event detect,ned,news,minimum normal cost,news stori,adjust term weight,experiment result,basic new event detect model
42,doc 43,search result,search engin,queri,relev advertis alongsid search result,queri classif,good result for frequent queri,web search result,use search result,rare queri,classif,extern knowledg,ampl specif for onlin advertis,extern knowledg achiev greater improv,taxonomi,search result yield deeper knowledg
43,doc 44,post-queri brows,advanc syntax,advanc search engin user,search engin,search engin user,advanc search,better understand,search success,post-queri navig,advanc user,queri oper,engin user,syntax,result click,trail
44,doc 45,term feedback,cluster-bas method for select term,queri model,relev feedback,present term,term feedback for inform retriev,feedback,feedback document,languag model,document,user for judgment,languag model approach,method for present term select,relev term,cluster model for trec queri
45,doc 46,non-relev document,document,rank,rocarea,map perform,retriev function,trec web track,map,svm,trec,score,averag precis,exist approach optim map,gener svm learn algorithm,relev document
46,doc 47,feedback model,origin queri,feedback,document,top-retriev document,languag model,current algorithm for pseudo-relev feedback,queri,baselin feedback method,baselin feedback,individu feedback model,feedback algorithm,enhanc feedback model,feedback method,black box
47,doc 48,markov random field,relev model,latent concept,latent concept expans,model for inform retriev,markov random field model,data set,robust queri expans techniqu,queri expans,mrf model for inform retriev,mechan for model term depend,meaning multi-term concept for task,mrf model,expans,queri expans techniqu
48,doc 49,multivari bernoulli,languag model,poisson,exist queri gener languag model,two-stag smooth,poisson languag model,repres trec test collect,multinomi,multinomi languag model,smooth method,queri gener model,smooth,per-term smooth,poisson distribut model term frequenc,poisson model
49,doc 50,nugget,definit question answer,definit question,question answer,inform nugget,answer set for definit question,sentenc,georg foreman,human reader,googl definit googl search engin,identifi definit,averag human reader,answer nugget,definit answer,web resourc
50,doc 51,abort,appli for clearanc,agent,technic challeng,abort task,handl unsuccess task,support meet submiss,plan,oper semant,abort-method,bdi agent intellig agent,pap,result,abort method,sub-plan introduc differ complex
51,doc 52,negoti,meta-level inform,success probabl,pre-negoti phase,negoti chain,agent,distribut center,meta-level coordin,relat negoti,singleag concurr negoti framework,accur model,global negoti chain context,sophist negoti for task,negoti chain problem,virtual organ overal perform
52,doc 53,resourc alloc,resourc load,agent,share resourc,histor inform,resourc,resourc alloc problem,induct reason,server,resourc load inform,resourc alloc mechan,self-organis agent-bas resourc alloc,multi-serv environ distribut applic,econom market model,manag layer for decis support
53,doc 54,agent,commit,acl,acl semant,semant,dynam semant,compliant,semant state,behaviour,speech act,reward mechan,semant variant,mental state,state transit,agent behaviour
54,doc 55,backward induct,condit commit,extort,commit,import for interact softwar agent,agent,pareto effici,strategi profil,commit type,differ commit type,player,mix strategi,expect util,make commit,strateg posit
55,doc 56,commit,agent,proof search,mer,tempor linear logic,cu credit,unnecessari constraint,credit payment,resource-rel reason for interact protocol,protocol action,intern enforc mechan for commit,pre-commit,cu pay,linear implic,cricket bat
56,doc 57,agent,concept learn,ma consist,learn,increment multi agent concept learner,boolean formula,current hypothesi,updat mechan,sound multi-ag increment learn,mas-consist,sound multiag increment learn,belief set,result,singl agent,n singl agent
57,doc 58,bee,agent,pheromon,emot,intern state,plan recognit,agent extern behavior,ghost,bee cycl bee major innov,agent emot state,observ behavior,futur behavior,emot state,differ possibl futur yield predict,evolutionari cycl
58,doc 59,distribut function,agent,interrupt,fast-pac domain,interrupt cost,owner,direct observ,mean for comput probabl distribut,empir set for evalu,selective-shar,selective-shar mechan,autonom agent,result,decis make,comput agent support peopl
59,doc 60,search session,relev document for incom queri,rout polici,agent,expect util,neighbor agent,relev document,incom queri,rout,relev document for specif type,reinforc learn,downstream agent,new rout polici,previou search session,learn algorithm
60,doc 61,inform provis abil,inform provis,acquaint,agent,indic for rout queri,token-bas method for inform share,provis,combin rout indic,rout indic,local repositori,method for inform search,effect inform search,inform search,overlay structur,dynam network
61,doc 62,advertis agent,advertis cycl,bid strategi,first-pric seal bid auction,simpl bid strategi,advert,advertis,advanc bid strategi,agent,bid,expect util,seal bid auction,decis theoret,probabilist model,stochast optimis algorithm
62,doc 63,agent,satellit swarm,time t,satellit,reactiv decis rule,request,conflict,comput capabl,plan,protocol,commun protocol,method for request alloc,strategi,commun,desir date for data
63,doc 64,global bidder,local bidder,bidder,best respons,symmetr nash equilibrium,optim bid strategi,simultan auction for complementari good,autonom agent,optim bid,expect util,agent,simultan second-pric auction,optim bid reduc,bid,global bidder bid
64,doc 65,banzhaf index,network flow game,banzhaf,flow,target vertex t,network flow domain,agent,gener network flow domain,simpl coalit game,power indic,power index,banzhaf power index,game,polynomi algorithm,coalit
65,doc 66,market barrier,barrier,agent,degre distribut,product,referr,market,word-of-mouth commun,extern constraint,result behaviour effect,time period,word-of-mouth,network structur,mechan for transmit word-of-mouth,result
66,doc 67,cognit load,mental model,share mental model,secondari task,share belief map,belief map,team member,share belief map concept,hmm-base cognit load model,team,human-ag collabor human team member,process load,agent,human partner,cognit aid
67,doc 68,partnership,agent,two-sid parallel econom search model,decis make,distribut mechan for form agent,two-sid econom search,two-sid econom search model,central match mechan,potenti partner,potenti partnership,commit messag,search model,search stage,model,equilibrium strategi
68,doc 69,schedul,agent,non-loc option,core local problem solv infra-structur,flexibl time represent,flexibl time,non-loc option gener,flexibl time schedul,simpl tempor network,subject view,basi for distribut coordin,increment flexible-tim schedul framework,agent schedul,stn,expect valu
69,doc 70,social network,task alloc,agent,task alloc problem,social task alloc problem,suppli chain,social relationship,upper bound,task t,suppli chain format,solut qualiti,recent year,network,alloc,distribut algorithm
70,doc 71,social welfar,judgment aggreg,social welfar function,major vote,discurs paradox,judgment aggreg rule,aggreg rule,prefer aggreg,judgment profil,judgment,agent,social choic,arrow theorem,prefer relat,swf
71,doc 72,adversari,adversari environ,log file,agent,mental state,bound ration agent,adversari environ model,design guidelin for agent design,axiom,model definit for mental state,follow list specifi new predic,simpl zero-sum adversari environ,behavior axiom,game,zero-sum interact multiag environ
72,doc 73,organiz structur,institut,transit type,case for agent program languag,agent,state type,norm,standard descript logic languag alc,social theori,terminolog axiom,comprehens formal logic theori,abstract norm,descript logic,rea,result
73,doc 74,norm,agent,virtual organ,conflict,prohibit,variou parti,minimalist definit for norm-regul vo,finite-st machin,atom formula,resolv conflict,deontic modal,governor agent,execut state,agent support grid servic,annot
74,doc 75,norm,well-known theoret result,norm structur,petri net,norm posit,norm scene,colour petri net,agent,tractabl algorithm for conflict resolut,onlin conflict resolut,autonom agent,conflict resolut,algorithm for conflict resolut,regul ma,warehous manag
75,doc 76,procur set,divid function,double-sid auction,distribut market,budget balanc,procur,suppli chain,procur class domain,gener trade reduct,class domain,suppli chain problem,combinatori double-sid auction,trade reduct,procur class,gener trade reduct algorithm
76,doc 77,unit demand,worst-cas optim,nonincreas margin valu,redistribut,margin valu,vcg redistribut mechan,gross substitut,individu ration,worst-cas optim for heterogeneous-item auction,agent,worst-cas optim vcg redistribut mechan,non-deficit properti,nonneg real number,vcg,social welfar
77,doc 78,uniform strategi,budget optim problem,bid,optim problem,internet search compani,click,budget,keyword,click-through rate,advertis,optim algorithm for variant,price slot for billion,convex hull,auction,auction for searchbas advertis
78,doc 79,click-through rate,symmetr equilibrium,revenu,bidder,keyword auction,rank rule,bid,equilibrium,major search engin like googl,user experi,agent,advertis,optim keyword auction design problem,incomplet inform,rank
79,doc 80,contagion threshold,epidem,infinit line,instant messeng,technolog,potenti function,game,node,payoff,new technolog,strategi b,basic game-theoret diffus model,follow technolog adopt scenario,compat,coordin game
80,doc 81,strong equilibrium,connect game,fair connect game,singl sourc gener connect game,player,singl sourc,gener connect game,seri parallel graph,seri parallel,cost share connect game,edg e,optim solut,classic combinatori optim problem,extens parallel graph,topolog character for equilibrium exist
81,doc 82,common knowledg,agent,weight threshold function,threshold function,prior probabl distribut,market,inform market,worst case,price,secur,input bit,round,equilibrium price,distribut inform,equilibrium
82,doc 83,textual comment,review,hotel,prior expect,onlin feedback report onlin review,rate,numer rate,featur f,semant orient,certain featur,low rate for certain featur,reput premium for product,onlin review,model,subject percept
83,doc 84,trader t,trader,subgam perfect,complementari slack,subgam perfect nash equilibrium,agent,buyer-sel interact use network structur,linear program,t trade,bipartit graph,alongsid modern effici market,seller,market for foreign exchang,gener framework captur match market,buyer
84,doc 85,item graph,structur item graph,hypertre decomposit,winner determin problem,combinatori auction,hypergraph,one-to-on correspond,hypertre,hypergraph h,hypertre width,polynomi time,determin problem,dual hypergraph,crucial problem for combinatori auction,effici algorithm for gener auction
85,doc 86,social welfar,nash equilibrium,graphic game,best respons polici,best respons,nash equilibria,compact represent scheme for game,underli graph,bounded-degre tree,polynomi time approxim scheme,strategi profil,nash,social welfare-maxim nash equilibrium,algebra number,player
86,doc 87,gai,auction,natur scale for assess magnitud,seller,new multiattribut structur for mvf,price,multiattribut valu for trade applic,formal underpin for measur valu,addit valu function represent essenti,valu function,mutual preferenti independ,measur valu function trade decis,gener addit prefer represent,prefer differ,complementari prefer for size
87,doc 88,truth mechan,cycl monoton,process time,makespan,truth,job,approxim ratio,satisfi cycl monoton,truthful-in-expect mechan,fraction truth mechan,truth mechan for makespan minim,lower bound,approxim truth mechan,truth mechan design,schedul
88,doc 89,posit auction,mediat,tie break rule,vcg outcom function,incomplet inform,outcom function,vcg posit auction,self-pric posit auction,player,vcg outcom,social surplu,agent,ex post,mediat for g,mediat servic
89,doc 90,kidney exchang,column gener,clear problem,kidney,allianc for pair donat,unit network for organ share,upcom nation kidney-exchang market,cycl,patient,agent,upcom nation kidney exchang market,tree search,increment problem formul,nationwid scale,social welfar maxim exchang
90,doc 91,project game,score rule,dynam parimutuel market,spheric score rule,use model for inform market,trader,market score rule,dpm,inform market,new abstract bet game,restrict project game,true probabl,game,agent,inform market for long-term gain
91,doc 92,minimum feedback arc set,feedback arc set,feedback arc,minimum feedback arc,worst-cas profit,unweight minimum feedback arc,pair bet,poor approxim for indivis pair,optim match,np-hard for pair bet,greedi algorithm,polynomi time,match problem,poor approxim for indivis order,poor approxim
92,doc 93,vertex cover,payment bound,frugal ratio,feasibl set,agent,cost vector,main result for vertex-cov auction,ntumin,path auction,cheapest feasibl set,truth mechan,ntumax,vertex-cov auction,frugal,new definit offrug ratio
93,doc 94,secur,agent,match problem,buy,briefli discuss natur algorithm,central comput complex result,stock market like nasdaq,option market like cboe,futur market like cme,framework for trade,auction,auction match problem,hard result,payoff,result
94,doc 95,exert effort,optim contract,contract,social welfar,agent,price of unaccount,non-strateg case,princip,set s,function t,agenc,margin contribut,contract agent,success probabl,econom theori
95,doc 96,demand function,fat shatter dimens,util function,demand,monoton concav util function,agent,budget set,afriat,reveal prefer,function,monoton concav util,learn algorithm,afriat theorem,util,price
96,doc 97,gener knapsack,approxim scheme,agent,single-good multi-unit auction problem,vcg mechan,knapsack problem,revers auction,alloc problem,polynomial-tim approxim scheme,single-good multi-unit alloc problem,marginal-decreas piecewis constant curv,bid languag,seller,bid,gener knapsack problem
97,doc 98,social planner,social valu,player,social-choic function,social choic,social welfar,action space,expect social valu,agent,optim mechan,social-choic rule,educ level,social-valu function,direct revel,dominant-strategi implement
98,doc 99,player,leader,pure strategi,mix strategi,agent,commit,nash equilibrium,mechan design,bayesian game,optim strategi,game,best respons,normal-form game,make decis,ignor leadership model
99,doc 100,best respons polici,best respons,breakpoint polici,graphic game,nash equilibrium,polynomi time,nash equilibria,downstream pass,breakpoint,mix strategi,run time,complex class ppad,upstream pass,singl nash equilibrium,nash
