,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10,keyphrase 11,keyphrase 12,keyphrase 13,keyphrase 14,keyphrase 15
16,doc 17,summari ticket,bullet,overlay tree,overlay,node,high bandwidth data dissemin use,tree,prefer method for deliv content,data deliveri typic overlay structur,bloom filter,tremend promis for multicast-styl applic,bandwidth,build high bandwidth overlay tree,high bandwidth overlay mesh,transmit disjoint data set
17,doc 18,document,file,document for variou purpos,solut for local document,multipl differ document,common place broadband internet access,apocrita,share,incorrect version,organ,user,access,multipl user,present apocrita,googl desktop
18,doc 19,buddycach,collabor applic,share work environ for group,millisecond round trip time,client,wide-area network environ collabor applic,object,collabor,cach,share object,wide-area network,high network latenc buddycach,effici access,latenc,typic internet latenc
19,doc 20,context provid,negoti,provid context,context inform,pervas environ,context-awar applic util context inform,reward,appropri context inform,appropri context provid,total concess of p,appropri context,proce,context,negoti process,qoc requir
20,doc 21,pairwis key,sensor network,pairwis key establish,new pairwis key establish algorithm,pairwis key establish algorithm,hierarch hypercub model,hierarch hypercub,direct pairwis key,basic probabilist key pre-distribut scheme,key predistribut scheme,tradit pairwis key establish techniqu,sensor node,new pairwis key pre-distribut scheme,hypercub model,key predistribut
21,doc 22,event type,access control,encrypt,mechan for authoris event client,commun mechan for build internet-scal,domain congest charg servic domain,event type specif encrypt key,broker network,model for encrypt event content,encrypt key,local event broker for access,broker,wide-area distribut commun infrastructur,asynchron event deliveri servic,encrypt event
22,doc 23,peer,overlay,particip peer,pro,high churn rate,high churn rate furthermor,bandwidth,non-interact stream applic,parent,peer-to-p receiverdriven overlay,stream applic,receiver-driven approach,approach for construct overlay,receiv,peer-to-p
23,doc 24,spatial index,user,dynam extens,virtual environ,object,spatial index method,virtual,index,groundwork for next-gener virtual framework,framework for next-gener virtual environ,world,mutabl virtual content,game,real-tim,server
24,doc 25,repeat combinatori auction,node hour,virtual currenc,auction,combinatori auction,bid,resourc alloc,mirag,basi for motiv research effort,strateg behavior,market-bas resourc alloc,hour,resourc,initi experi use mirag,solut for resourc alloc
25,doc 26,queri,enhanc method for web retriev,user interfac for seek inform,queri canon book for exampl,desktop,keyword,document,best static expans approach,expans,co-occurr statist,web search use desktop data,addit statist signific improv,queri expans,person inform repositori,person inform
26,doc 27,contextu factor,domain model,previou studi,queri,term relat,inform retriev user queri,domain,correct interpret recent studi,context word,inform need,document,user profil,use word sens disambigu,languag model,user inform need
27,doc 28,pim,re-find inform,pim evalu,inform,evalu,task,person inform,peopl re-find inform,task-bas evalu methodolog,grow area,person collect,person,peopl,manag,uniqu person collect
28,doc 29,passag,arbitrari span,adapt filter,novelti detect,logist regress,tempor order,novelti,rank list,standard retriev for ad-hoc queri,novelti detect compon,inform distil,user feedback,document,new approach,queri
29,doc 30,user,recommend,bayesian hierarch model,learn,user profil,model paramet,hierarch model,custom recommend for addit product,model,profil,bayesian,borrow inform,individu user,new fast learn techniqu,new user
30,doc 31,relev judgment,judgment,confid,document,relev,confid estim,acquir relev judgment,test collect,previou work,averag precis,evalu,maximum entropi distribut for relev,rank,unjudg document,inform retriev research
31,doc 32,search result,cluster,search,organ search result,cluster search result,past queri,result,past queri word,commerci search engin log data,search engin log data,search engin,search log,jaguar,cluster label,meaning cluster label
32,doc 33,cluster,local regular,eigenvalu decomposit,data point,label predictor,regular linear label predictor,typic bottom-up hierarch cluster method,regular paramet,document,document cluster,dataset,document cluster method,cluster method,global regular,specifi search for document
33,doc 34,imag,activ learn,laplacian optim design,relev feedback,experiment design,novel activ learn algorithm,activ learn algorithm,optim experiment design,label,relev feedback imag,retriev,design,learn,learn algorithm,contentbas imag retriev
34,doc 35,snippet,document,search,cach,web search andrew turpin,search engin,fast snippet gener process,web search,gener snippet,compress,cach document,current www search engin,result,ram,queri
35,doc 36,caption,snippet,search engin,web search,queri term,web search engin,page,search,result,web,url,titl,major commerci web search,commerci web search engin,queri
36,doc 37,trail,destin,queri,search,novel web search interact featur,basi for comput sourc author,search result,web search interact browser plugin,popular destin,search engin,web search,user,unaid web search,web activ log contain search,queri suggest
37,doc 38,cach,post list,static cach,cach post list,new algorithm for static cach,queri,post,cach queri answer,dynam cach,search engin,web search engin,queri answer,list,answer,queri log
38,doc 39,search engin,prune,invert list,prune polici,size s,prune index,two-tier index architectur search engin,fierc competit,prune index for variou reason,correct indic function,invert index,new result comput algorithm,queri load,two-tier architectur,index
39,doc 40,term weight,segment,topic segment,mutual inform,stop word,soft classif use term weight,term cluster,multi-docu segment,multipl document,share topic detect,weight mutual inform,dynam program,multipl similar document,past decad topic segment,previou research
40,doc 41,event,event detect,featur,period,period event,featur for differ event characterist,unsupervis greedi event detect algorithm,unsupervis manner,detect,spectral analysi,word,document frequenc,news,repres featur,detect algorithm
41,doc 42,stori,ned,new event,differ effect for ned task,news,new event detect,new ned model,compar time,news stori,indexing-tre,news indexing-tre,differ type,previou stori cluster,detect,event
42,doc 43,queri,search engin,classif,search result,queri classif,search,relev advertis alongsid search result,commerci web search engin,good result for frequent queri,rare queri,web search engin,taxonomi,ampl specif for onlin advertis,web search,methodolog for queri classif
43,doc 44,advanc search engin user,search,advanc,advanc syntax,search engin user,search engin,user,commerci web search engin,web search,queri,web search engin,use,better understand,queri use queri oper,user group search
44,doc 45,term feedback,feedback,queri model,term feedback for inform retriev,term-bas feedback for inform retriev,cluster-bas method for select term,languag model,term,languag model approach,inform retriev,relev,model,document,queri,user
45,doc 46,non-relev document,svm,rank,map,web track,trec,document,exist approach optim map,averag precis,gener svm learn algorithm,retriev function,rocarea,map perform,svm for map,score
46,doc 47,feedback model,feedback,top-retriev document,model,queri,document,origin strong baselin method uncertainti,random variabl,origin queri,black box,languag model,individu feedback model,posterior distribut,distribut,baselin feedback method
47,doc 48,queri expans,expans,latent concept expans,queri expans techniqu,markov random field,model,term depend,queri,model for inform retriev,mechan for model term depend,robust queri expans techniqu,techniqu,meaning multi-term concept for task,mrf model,simpl term occurr featur
48,doc 49,languag model,multivari bernoulli,poisson,exist queri gener languag model,poisson languag model,smooth,smooth method,two-stag smooth,repres trec test collect,multinomi languag model,background model,model for inform retriev,poisson distribut model term frequenc,poisson model,queri gener probabilist model
49,doc 50,nugget,definit question,inform nugget,answer,question,definit,inform,answer set for definit question,topic,model,human,definit sentenc,answer nugget,question topic,identifi
50,doc 51,abort,appli for clearanc,agent,bdi agent intellig agent,plan,appropri sequenc intellig agent,support meet submiss,abort task,sub-plan introduc differ complex,failur,oper semant,agent s,abort-method,abort method,technic challeng
51,doc 52,decommit penalti,negoti,meta-level inform,meta-level coordin,success probabl,distribut center,pre-negoti phase,sophist negoti for task,agent,extra earli finish reward proport,global negoti chain context,earli finish reward rate,singleag concurr negoti framework,relat negoti,singl global goal
52,doc 53,resourc alloc,resourc,agent,alloc,self-organis agent-bas resourc alloc,effici resourc alloc,distribut,multi-serv environ distribut applic,resourc alloc problem,resourc consum,self-organis,manag layer,resourc alloc mechan,central resourc alloc mechan,dynam multi-serv environ
53,doc 54,agent,commit,semant,acl semant,acl,behaviour,dynam semant,certain behaviour commitment-bas semant,compliant,speech act,lack verifi regard complianc,discuss desiderata,transit rule,previou agent behaviour,agent behaviour
54,doc 55,commit,player,extort,pareto effici gener term econom,game,agent,strateg posit,condit commit,commit type,pareto effici,threat,extort make commit,action,promis,game theori
55,doc 56,linear logic,commit,agent,resource-rel reason for interact protocol,intern enforc mechan for commit,cu pay,proof search,tempor linear logic,mer,protocol action,reactiv program tempor linear logic,linear implic,credit payment,use finit state machin,credit
56,doc 57,agent,updat mechan,mas-consist,belief set,boolean formula,ma consist,increment multi agent concept learner,sound multi-ag increment learn,a-consist,updat,sound multiag increment learn,learn,inform,ma consist updat mechan,belief
57,doc 58,agent,bee,plan recognit,plan,intern state,emot,behavior,predict,futur action,futur behavior,convent analysi environment dynam,intent,emot state,action,state
58,doc 59,agent,distribut function,owner,direct observ,estim,interrupt,make decis fast-pac environ,fast-pac environ,mean for comput probabl distribut,empir set for evalu,distribut,inform,disast rescu,fast-pac domain,agent s
59,doc 60,search session,agent,rout polici,neighbor agent,relev document for incom queri,expect util,qsj,reinforc learn,relev document for specif type,rout,distribut search session,queri,downstream agent,past search session,previou search session
60,doc 61,inform search,agent,method for inform search,dynam network,network,combin rout indic,inform,share,search,rout indic,inform provis abil,overlay structur,long stand problem,method,dynam
61,doc 62,agent,bid,advertis,advert,advertis agent,advanc bid agent,bid agent,public display,simpl bid strategi,bid strategi,seal bid auction,display,user,auction,centralis optim alloc
62,doc 63,satellit,satellit swarm,agent,swarm,constel,commun,mission,collect plan mono-ag plan,plan,commun protocol,reactiv decis rule,protocol,mission requir,robust multi-ag architectur,meet
63,doc 64,global bidder,auction,bidder,bid,optim bid,optim bid strategi,second-pric auction,bid strategi,perfect substitut,valuat distribut,local bidder,agent,strategi,global bid agent,singl auction
64,doc 65,network flow game,flow,flow game,banzhaf,banzhaf power index,agent,game,banzhaf index,coalit,power index,simpl coalit game,polynomi algorithm,sourc vertex,target vertex,coalit game
65,doc 66,market barrier,barrier,product,agent,word-of-mouth commun,mechan for transmit word-of-mouth,referr,switch cost,product use,market,psycholog affin,inform,local behaviour,particular product,k agent
66,doc 67,cognit load,mental model,share mental model,secondari task,belief map,share belief map,concept share belief map,human-ag collabor human team member,agent,process load,share belief map concept,hmm-base cognit load model,team,team member,cognit structur for interpret task
67,doc 68,agent,partnership,two-sid parallel econom search model,distribut mechan for form agent,potenti partnership,commit messag,potenti partner,two-sid econom search model,expect util,econom search model,decis make process,equilibrium strategi,reserv valu,variou softwar agent-bas applic,search
68,doc 69,schedul,agent,core local problem solv infra-structur,execut,agent s,flexibl time schedul,simpl tempor network,flexibl time,qualiti,need for schedul chang,activ,agent schedul,basi for distribut coordin,increment flexible-tim schedul framework,flexibl time represent
69,doc 70,social network,agent,task alloc,upper bound,social relationship,task alloc problem,social task alloc problem,task,resourc,solut qualiti,network,task t,large-scal applic recent year,alloc problem,use transact cost econom
70,doc 71,social welfar,social welfar function,judgment aggreg,discurs paradox,major vote,agent,judgment aggreg rule,judgment profil,judgment aggreg rule aggreg set,aggreg rule,social welfar function aggreg prefer,judgment aggreg logic,prefer aggreg thoma agent,swf,judgment
71,doc 72,agent,adversari,adversari environ,bound ration agent,log file,sharedplan model for collabor behavior,design guidelin for agent design,axiom,model definit for mental state,implic for agent behavior,behavior axiom,mental state,follow list specifi new predic,game,zero-sum interact multiag environ
72,doc 73,organiz structur,institut,transit type,agent,case for agent program languag,norm,standard descript logic languag alc,social theori,terminolog axiom,state type,abstract norm,comprehens formal logic theori,role,agent enact role s,implement institut
73,doc 74,norm,agent,virtual organ,variou parti,minimalist definit for norm-regul vo,finite-st machin,action,conflict,inconsist,global goal,facilit coordin,new compon,make use,differ virtual organ,variabl
74,doc 75,norm,well-known theoret result,norm posit,norm structur,petri net,norm scene,agent,tractabl algorithm for conflict resolut,colour petri net,atom formula,autonom agent,warehous manag,algorithm for conflict resolut,oblig,prohibit
75,doc 76,budget balanc,social welfar,distribut market,double-sid auction,welfar,mechan,combinatori double-sid auction,suppli chain,gener trade reduct,trade reduct,gtr,suppli chain problem,individu ration,maxim social welfar,incent compat
76,doc 77,budget balanc,worst case,individu ration,vcg payment,total vcg payment,redistribut payment,linear vcg redistribut mechan,bid vector,linear program,multipl indistinguish unit,redistribut,agent,wellknown vickrey-clarke-grov,anonym determinist mechan,vcg redistribut mechan
77,doc 78,budget optim problem,uniform strategi,budget optim,optim problem,budget optim problem onlin search,bid,internet search compani,strateg consider internet search compani,click-through rate,keyword,budget,click,auction for searchbas advertis,optim algorithm for variant,user convent media outlet
78,doc 79,click-through rate,symmetr equilibrium,keyword auction,bid,bidder,equilibrium,revenu,advertis,auction,posit advertis bid for placement,rank,search engin,rank rule,click,approach use monte-carlo simul
79,doc 80,contagion threshold,epidem,instant messeng,infinit line,technolog,game,potenti function,new technolog,node,payoff,best respons,basic game-theoret diffus model,follow technolog adopt scenario,strategi,coordin game
80,doc 81,strong equilibrium,connect game,fair connect game,singl sourc gener connect game,singl sourc,gener connect game,seri parallel,player,seri parallel graph,cost share connect game,optim solut comput game theori,util increas network congest game,edg e,optim solut,extens parallel graph
81,doc 82,market,inform,secur,inform market,distribut inform,threshold secur,price,laboratori evidence-th equilibrium price,trader,distribut,market price,equilibrium price,comput process,threshold function,input bit
82,doc 83,textual comment,review,semant orient,onlin feedback report onlin review,hotel,rate,prior expect,la vega,numer rate,featur,low rate for certain featur,onlin review,tripadvisor page display review,reput premium for product,good reput recent analysi
83,doc 84,trader t,subgam perfect,complementari slack,subgam perfect nash equilibrium,trader,buyer-sel interact use network structur,agent,linear program,gener framework captur match market,t trade,bipartit graph,market for foreign exchang,seller,differ agent receiv differ price,set like hous purchas
84,doc 85,item graph,combinatori auction,structur item graph,hypertre width,winner determin problem,hypertre decomposit,item,polynomi time,one-to-on correspond,hypergraph h,hypergraph,graph,structur item graph combinatori auction,dual hypergraph,tractabl combinatori auction item graph
85,doc 86,nash equilibrium,nash,nash equilibria,graphic game,social welfar,underli graph,best respons polici,game,equilibrium,compact represent scheme for game,bounded-degre tree,equilibria,best respons,data structur,player
86,doc 87,gai,new multiattribut structur for mvf,auction,natur scale for assess magnitud,mutual preferenti independ,seller,multiattribut valu for trade applic,formal underpin for measur valu,valu function,attribut,multiattribut auction,follow addit independ relat definit,structur multiattribut auction mechan,price,gener addit prefer represent
87,doc 88,truth mechan,process time,cycl monoton,truth,special case,machin,lower bound,schedul domain,mechan design,truth mechan for makespan minim,posit result,mechan,schedul,multidimension domain,satisfi cycl monoton
88,doc 89,posit auction,vcg outcom function,mediat,tie break rule,outcom function,vcg posit auction,incomplet inform,self-pric posit auction,vcg outcom,social surplu,google-lik posit auction,break rule,player,vcg posit,next-pric posit auction
89,doc 90,column gener,kidney exchang,unit network for organ share,clear problem,upcom nation kidney-exchang market,allianc for pair donat,cycl,upcom nation kidney exchang market,combinatori auction,kidney,patient,unit network for organ,social welfar maxim exchang,tree search,clear problem for barter exchang
90,doc 91,project game,score rule,market,inform market,use model for inform market,dynam parimutuel market,attract geometr visual,game,new abstract bet game,trader,market score rule,trade,spheric score rule,project,futur event
91,doc 92,minimum feedback arc set,feedback arc,minimum feedback arc,pair bet,unweight minimum feedback arc,optim match,worst-cas profit,poor approxim for indivis order,np-hard for pair bet,match problem,polynomi time,greedi algorithm,so-cal complet arrow-debreu secur market,bet,subset bet
92,doc 93,frugal ratio,vertex cover,payment bound,feasibl set,main result for vertex-cov auction,agent,cost vector,cheapest feasibl set,ntumin,tumax relat work vertex-cov auction,truth mechan,new truth polynomial-tim auction,best possibl worst-cas bound,alloc rule,ntumax
93,doc 94,secur,compound secur,agent,match problem,framework for trade,secur market,event,compound secur market,market,particular futur outcome-allow agent,tractabl special case secur market,n event,hedg risk,indivis case,risk
94,doc 95,exert effort,social welfar,price of unaccount,optim contract,non-strateg case,contract,agent,princip,set s,margin contribut,function t,agenc,econom theori,open question,optim contract for technolog
95,doc 96,demand function,demand,util function,fat shatter dimens,util,agent,forecast,function,budget set,price,prefer,afriat,monoton concav util function,monoton util function,monoton concav util
96,doc 97,auction,alloc problem,approxim scheme,vcg mechan,approxim,marginal-decreas piecewis constant curv,bid,agent,multi-unit alloc problem,revers auction,mechan,single-good multi-unit alloc problem,polynomial-tim approxim scheme,total surplu,bid languag
97,doc 98,social planner,social valu,singl cross,social choic,player,social welfar,social-choic function,expect social valu,social-choic rule,optim mechan,direct revel,action space,agent,dominant-strategi implement,social-valu function
98,doc 99,mix strategi,pure strategi,player,leader,reserv price,bayesian game,agent,normal-form game,optim strategi,mechan design,commit,nash equilibrium,linear program,game,best respons
99,doc 100,best respons,best respons polici,graphic game,nash equilibrium,breakpoint polici,mix strategi,downstream pass,nash equilibria,recent ppad-complet result for game,polynomi time,singl nash equilibrium,underli graph,complex class ppad,upstream pass,polynomi time approxim algorithm
