,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
72,doc 73,organiz structur,transit type,institut,case for agent program languag,agent,standard descript logic languag alc,state type,social theori,comprehens formal logic theori,norm
73,doc 74,agent,norm,virtual organ,variou parti,minimalist definit for norm-regul vo,finite-st machin,conflict,prohibit,atom formula,deontic modal
74,doc 75,well-known theoret result,norm,petri net,norm structur,norm posit,agent,tractabl algorithm for conflict resolut,colour petri net,norm scene,onlin conflict resolut
75,doc 76,divid function,procur set,double-sid auction,distribut market,budget balanc,suppli chain,procur class domain,procur,gener trade reduct,class domain
76,doc 77,unit demand,nonincreas margin valu,worst-cas optim,margin valu,vcg redistribut mechan,redistribut,individu ration,gross substitut,worst-cas optim for heterogeneous-item auction,agent
77,doc 78,budget optim problem,uniform strategi,bid,optim problem,internet search compani,click-through rate,budget,click,keyword,optim algorithm for variant
78,doc 79,click-through rate,symmetr equilibrium,revenu,bidder,keyword auction,major search engin like googl,rank rule,bid,agent,equilibrium
79,doc 80,contagion threshold,infinit line,instant messeng,epidem,potenti function,node,game,technolog,basic game-theoret diffus model,follow technolog adopt scenario
80,doc 81,strong equilibrium,connect game,fair connect game,singl sourc gener connect game,singl sourc,gener connect game,seri parallel graph,player,cost share connect game,seri parallel
81,doc 82,common knowledg,agent,weight threshold function,threshold function,prior probabl distribut,worst case,inform market,input bit,price,market
82,doc 83,textual comment,prior expect,hotel,review,onlin feedback report onlin review,numer rate,semant orient,rate,featur f,low rate for certain featur
83,doc 84,trader t,subgam perfect,complementari slack,agent,subgam perfect nash equilibrium,buyer-sel interact use network structur,trader,linear program,alongsid modern effici market,bipartit graph
84,doc 85,item graph,structur item graph,hypertre decomposit,winner determin problem,combinatori auction,one-to-on correspond,hypergraph h,hypergraph,hypertre,hypertre width
85,doc 86,social welfar,nash equilibrium,graphic game,best respons polici,best respons,compact represent scheme for game,underli graph,nash equilibria,bounded-degre tree,polynomi time approxim scheme
86,doc 87,gai,natur scale for assess magnitud,new multiattribut structur for mvf,multiattribut valu for trade applic,formal underpin for measur valu,auction,addit valu function represent essenti,valu function,measur valu function trade decis,mutual preferenti independ
87,doc 88,truth mechan,cycl monoton,process time,truth mechan for makespan minim,lower bound,satisfi cycl monoton,approxim ratio,fraction truth mechan,makespan,truthful-in-expect mechan
88,doc 89,posit auction,tie break rule,vcg outcom function,incomplet inform,mediat,outcom function,agent,vcg posit auction,self-pric posit auction,social surplu
89,doc 90,kidney exchang,column gener,clear problem,unit network for organ share,allianc for pair donat,upcom nation kidney-exchang market,kidney,agent,upcom nation kidney exchang market,cycl
90,doc 91,project game,score rule,dynam parimutuel market,use model for inform market,spheric score rule,market score rule,new abstract bet game,agent,inform market,trader
91,doc 92,minimum feedback arc set,feedback arc set,feedback arc,minimum feedback arc,worst-cas profit,unweight minimum feedback arc,pair bet,poor approxim for indivis pair,np-hard for pair bet,optim match
92,doc 93,vertex cover,payment bound,frugal ratio,agent,feasibl set,main result for vertex-cov auction,cost vector,ntumin,path auction,truth mechan
93,doc 94,secur,agent,match problem,briefli discuss natur algorithm,central comput complex result,stock market like nasdaq,option market like cboe,futur market like cme,framework for trade,result
94,doc 95,exert effort,optim contract,social welfar,contract,agent,price of unaccount,non-strateg case,set s,princip,function t
95,doc 96,demand function,fat shatter dimens,util function,agent,monoton concav util function,demand,budget set,reveal prefer,monoton concav util,learn algorithm
96,doc 97,gener knapsack,agent,single-good multi-unit auction problem,approxim scheme,vcg mechan,revers auction,knapsack problem,alloc problem,single-good multi-unit alloc problem,marginal-decreas piecewis constant curv
97,doc 98,social planner,social valu,social choic,social-choic function,social welfar,player,action space,agent,expect social valu,social-choic rule
98,doc 99,pure strategi,agent,mix strategi,player,leader,nash equilibrium,mechan design,bayesian game,best respons,make decis
99,doc 100,best respons polici,best respons,breakpoint polici,graphic game,nash equilibrium,polynomi time,nash equilibria,downstream pass,mix strategi,run time
