,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
31,doc 32,inform process,optim,statist,tune,probabl,model,standard,perform,measur,inform
32,doc 33,neural network,output,learn,mechan,code,network,implement,effici,comput,gener
33,doc 34,correct,converg,imag,construct of panoram imag mosaic,correct formula,mistak,construct,local align,origin paper,incorrect equat
34,doc 35,convolut,smooth,iter,packag,indic,observ,evolut,experi,select,filter
35,doc 36,scene illumin,viewpoint,manipul,imag,interact,function,design,new volumetr decomposit techniqu,scene plenopt function,scene
36,doc 37,paramet estim,encod,separ,smooth,video,discret,measur,constraint,sequenc,imag
37,doc 38,govern,observ,constraint,linear,imag,structur,arbitrari unknown object motion,arbitrari number point light sourc,singl point light sourc,exampl of automat surfac reconstruct
38,doc 39,field,bit,resourc,probabl,librari,stabil,inform,program,variou form of commun infrastructur,passel of local profession group
39,doc 40,web site,observ,inform,web,resourc,structur,design,issu for bilingu develop,content-bas bilingu web site,use of card-sort activ
40,doc 41,web site,internet,econom,organ,interact,structur,design,web,parallel,effici
41,doc 42,navig aid,content,interact,model,comput,perform,inform,model of inform interact,context for inform architectur,inform architectur
42,doc 43,user interfac,graphic,interfac,reason,databas,associ,effici,inform,design,law enforc user
43,doc 44,suppli chain,invest,supplier,client,interfac,cost,associ,compani,product,technolog
44,doc 45,power industri,knowledg manag,programm,pressur,cost,industri,knowledg,perform,manag,cost of electr power
45,doc 46,regress function,fuzzi set theori,independ variabl,inform technolog,comput scienc,linear,reliabl,avail,inform,comput
46,doc 47,comput industri,technolog chang,parallel comput,usa,person comput,evolut,market,govern,industri,product
47,doc 48,decis maker,inform technolog,risk,model,avail,review,futur,invest,benefit,linear
48,doc 49,oper frequenc,interpol,comput time,temperatur,accuraci,implement,program,effici,comput,gener
49,doc 50,vendor,indic,network,measur,vendor-run accredit scheme,job applic skill,staff,practic,object measur,case
50,doc 51,cost,manag,network,technolog,money,capac,channel,san,area,build
51,doc 52,firewal,secur,network,slotshield,power,space,pci card,data,,
52,doc 53,consult,manag,pitfal,success,asset,,,,,
53,doc 54,benefit,technolog,uk-bas stream media specialist twofourtv,chief oper offic,staff in pictur,corpor intranet,firm,staff,offic,stream media
54,doc 55,java,vendor,compani,softwar,program,cross-platform portabl of applic,test sun microsystem,java verif program,softwar vendor,server
55,doc 56,consult,secur,observ,engin,interact,integr,standard,plan,strategi,manag
56,doc 57,comput,recent klez worm use,e-mail carri virus,simpl techniqu,vulner,e-mail,onlin,virus,decept,simpl
57,doc 58,constraint,probabl,observ,measur,structur,distinguish of quantum state,distinguish of orthogon quantum,interv of time t,orthogon single-photon state,explicit express
58,doc 59,autom,complex,visual,size,map,product,imag,integr,subsequ ultrathin-lay gel electrophoresi,submicrolit size pcr reaction
59,doc 60,programm,strategi,simpl,time,short-term strategi,deliv,health care,health,mind,
60,doc 61,publish,supplier,packag,survey,softwar,lead public softwar packag,date,in-hous,current capabl,lead
61,doc 62,publish,request for propos,write,format,make,fulfil rfp,look,pro,propos,time
62,doc 63,metadata,resourc,librari,experi,internet,engin,review,associ,scienc,distribut
63,doc 64,pilot project,research,engin,databas,observ,univers,scienc,canadian nation site licens project,opportun for subsequ phase,research databas in scienc
64,doc 65,librari,model,inform,licens agreement on behalf,nation electron site licens initi,success of site licens,model licens agreement,interim evalu,behalf,academ librari
65,doc 66,europ,univers,cooper,publish,continu,agent,associ,librari,inform,associ organis in australia
66,doc 67,univers,busi,publish,document,avail,research,experi,web,strategi,scienc
67,doc 68,publish,classifi,vendor,librari,organ,futur,posit,model,promis futur librari consortia,intern coalit of librari consortia-icolc
68,doc 69,metadata,protocol,search,exchang,librari,provid of user servic,creation of interoper digit librari,effect digit librari interoper,digit librari,open archiv initi
69,doc 70,content,relev,publish,engin,constraint,technolog,standard,industri,function,specif
70,doc 71,partnership,publish,univers,econom,relev,librari,research,specif,experi,manag
71,doc 72,publish,profit,cost,univers,learn,research,effici,potenti for scholarli onlin book,onlin book,scholar
72,doc 73,univers,publish,program,indic,librari,manag,univers of california,california digit librari,faculty-l innov in scholarli publish,escholarship program
73,doc 74,partnership,databas,publish,univers,resourc,scienc,librari,strategi,model,uniqu electron journal publish project
74,doc 75,partnership,econom,cooper,publish,univers,librari,research,plan,inform,model
75,doc 76,oper condit,temperatur,impact,machin,classifi,classif,account,experi,addit,model
76,doc 77,perform measur,complex,minim,perform,content,effici,measur,total number of process,maxim number of step,complex of algorithm
77,doc 78,comput network,memori,resourc,effici,perform,distribut,comput,network,design,model
78,doc 79,protocol,topolog,avail,univers,desir,stabil,knowledg,chang,optim,addit
79,doc 80,random,correct,implement,algorithm for two-process wait-fre test-and-set,elementari step,proof of correct,two-process wait-fre test-and-set,reset,algorithm,expect
80,doc 81,budget,manag,web,new web-bas collabor tool,microsoft project,enterpris debut,project,make,microsoft,enterpris
81,doc 82,flexibl,publish,web,integr,design,strong contend for web author,flexibl gui environ,comprehens workgroup,collabor server,adob goliv
82,doc 83,firewal,web site,internet,futur,avail,interact,cluster,price,reason,market
83,doc 84,qualiti of servic,deaf,html,disabl,web,web site,publish,visual,resourc,interfac
84,doc 85,complex,busi,web site,reliabl,content,knowledg,web,optim,perform,network
85,doc 86,invest,profit,cultur,standard,integr,manag,integr invest in site develop,cultur of usabl,usabl test,usabl test in-hous
86,doc 87,web,program,wide varieti of debug tool,bug in web-bas applic,program practic,right tool,mind,author consid,tool,applic
87,doc 88,programm,java,secur,memori,speed,code,program,manag,model,java secur sandbox program model
88,doc 89,histori,encod,interfac,futur,resourc,standard,strategi,design,need for user tool,onlin archiv of california
89,doc 90,util,encod,futur,web,indic,standard,implement,inform,gener,util of archiv descript data
90,doc 91,standard,distinct sub-speci of digit collect,virtual collect,virtual collect virtual collect,curat,archivist,descript,applic,end,digit archiv
91,doc 92,union member,polit,cultur,relev,cooper,secur,document,review,program,chang
92,doc 93,survey,impact,encod,implement,util,function,program,institut goal for ead implement,evalu of ead program,pilot survey of earli implement
93,doc 94,educ,web site,student,librari,web,learn,archiv materi,digit access,primari sourc materi,direct physic access
94,doc 95,educ,continu,impact,observ,compon,strategi,manag,gener,archiv manag of electron record,write of david bearman
95,doc 96,fuzzi logic,complex,identif,experiment result,optim,standard,strategi,technolog,structur,identif of complementari surfac patch
96,doc 97,fuzzi set theori,identif,review,resolut,strategi,model,gener,model approach of molecular surfac,identif of molecular complementar,analysi of partial similar
97,doc 98,parallel comput,accuraci,coupl,effici,delay,parallel,function,integr,comput,second set of slave
98,doc 99,correl,complex,specif,select,structur,method for correl analysi,conform space of complex molecul,conform space,applic for molecular conform,relat conform space
99,doc 100,genet algorithm,data set,publish,cluster,encod,util,model,implement,select,optim
100,doc 101,librari,util,topolog,random,classifi,valid,organ,avail,visual,indic
101,doc 102,neural network,aggreg,uncertainti,benefit,averag,minim,network,correl,train,research
102,doc 103,genet algorithm,select,embed,desir,avail,popul,databas,correl,gener,select of repres subset
103,doc 104,scale function,data set,outlier,topolog,relev,reason,univers,addit,databas,avail
104,doc 105,intuit,separ,interact,statist,posit,plan,map,model,valu for fragment volum descriptor,valu for fragment hydrophob descriptor
105,doc 106,comput model,organ,data set,correl,benefit,reduct,model,robust,addit,linear
106,doc 107,stabil constant,comput model,data set,complex,coupl,account,linear,stabil,function,addit
107,doc 108,probabl distribut,model,probabl,posit,linear,select,structur,distribut,quantit structure-act relationship model,rang of possibl end-point valu
108,doc 109,indic,topolog,complex,agent,correct,comput,vertex degre of atom,applic of ze-isomer descriptor,novel ze-isomer descriptor,inabl of convent topolog indic
109,doc 110,strong consensu,faculti member,faculti,student,survey,associ,learn,experi,univers,comput
110,doc 111,children,student,educ,program,internet,univers,plan,learn,control,model
111,doc 112,teacher,web site,student,scienc,web,interact,optim,learn,chang,technolog
112,doc 113,teacher,student,web site,internet,relev,search,web,inform,implement,pre-select relev web site
113,doc 114,knowledg base,educ,complex,busi,interact,student,scienc,approxim,research,field
114,doc 115,pedagogi,teacher,director,cultur,graphic,educ,video,univers,learn,research
115,doc 116,inform process,visual,overhead,educ,impact,reduct,observ,complex,memori,learn
116,doc 117,princip compon analysi,data exchang,softwar,relev,classif,packag,flexibl,avail,design,exchang
117,doc 118,paramet estim,frequenc respons,flux,separ,parallel,linear,model,measur,ratio of core flux,effect on frequenc respons
118,doc 119,phase transit,comput complex,upper bound,complex,memori,random,statist,field,structur,chang
119,doc 120,ion channel,numer simul,neural network,memori,nois,reason,dynam,simul,perform,network
120,doc 121,fabric,discret,design,integr,control,structur,comput,decoupl track-follow control design,self-tun control scheme,reson mode
121,doc 122,bit,programm,cluster,interact,resolut,control,inform,bit of inform,degre phase shift,strong intramolecular interact
122,doc 123,vibrat,feedback control,robust,nois,avail,reduct,mass,simul,experi,control
123,doc 124,high-ris build,experiment result,pressur,coupl,reduct,nois,technolog,compon,gener,control
124,doc 125,onlin catalog,size,univers,minim,delay,deliveri,librari,control,inform,ohio state univers librari
125,doc 126,librari,survey,standard,research,associ,servic for arl librari,standard for academ librari hour,associ for research librari,servic in academ librari,factor affect servic hour decis
126,doc 127,web site,regul,answer,web,outlin use subject-specif web,basic legal web site,focu on statut,legal refer question,attorney directori,author highlight
127,doc 128,onlin catalog,servic provid,librari,internet,comput,technolog,effect of new technolog,need for librari build,small academ librari,comput servic
128,doc 129,complex,resourc,field,librari,content,knowledg,technolog,chang,inform,field of librarianship
129,doc 130,faculti,fact,avail,student,librari,inform,case of illiad librari,develop of illiad,custom,on-campu custom
130,doc 131,client,reason,librari,comput,manag,number of compel reason,academ librari,devic,number,note
131,doc 132,partnership,cooper,lot,disabl,educ,student,learn,librari,method for increas cooper,variou unit on campu
132,doc 133,internet,search,option,reliabl,databas,judgment,engin,research,addit,particip rate of familiar
133,doc 134,identif,account,observ,learn,program,research,implement,control,perform,total set of snodgrass
134,doc 135,databas,web site,educ,publish,organ,web,univers,standard,govern,plan
135,doc 136,resolut,video,research,new method combin vesa,accept full-screen display,spitczok von brisinski,simpl vesa routin,psycholog research,ultrafast display,regist
136,doc 137,delay,precis,avail,statist,averag,measur,experi,function,model,chang
137,doc 138,student,comput,program,experi,perform,gener,perform for nonhuman subject,perform for human subject,comput program for program schedul,schedul of reinforc
138,doc 139,teacher,java,random,student,option,answer,content,sequenc,databas,correct
139,doc 140,world wide web,design procedur,educ,html,graphic,avail,databas,web,flexibl,interact
140,doc 141,student,interact,video,web site,experi,field,web,dynam,learn,knowledg
141,doc 142,futur,avail,experi,compon,content,inform,design,natur of ia design,intern theori,bottom-up design activ
142,doc 143,children,portal,web,inform,content,design,appli inform architectur portion,children web portal,inform architectur,web portal
143,doc 144,educ,field,graphic,comput scienc,flexibl,student,organ,content,chang,inform
144,doc 145,histori,review,inform,field,annual acm sigchi confer,recent emerg of ia,emerg of inform architectur,summit,inform architectur,term
145,doc 146,size,internet,impact,resourc,market,survey,random,reason,librari,differenti
146,doc 147,expon,convolut,discret,distribut,model,theoret fraction frequenc distribut,construct of fraction frequenc distribut,consequ of lotka law,number of paper,fraction frequenc distribut
147,doc 148,relev,internet,cultur,search,answer,reflect,correct,document,averag,index
148,doc 149,optim,model,deterior for fluctuat demand,optim replenish schedul exist,al for origin paper,optim replenish schedul,overal optim polici,lot-siz model,optim polici,yang
149,doc 150,identif,reliabl,case studi,correct,experi,resolut,probabl,reason,minim,constraint
150,doc 151,manufactur,product,cost,associ,approxim,plan,strategi,nonrenew minimal-repair warranti plan,singl sale for single-compon item,event of product failur
151,doc 152,mac os x,visual,control,program,advantag of use realbas,direct record of data,effect of sonifi graph,rapid develop of stimulu present,data,data collect procedur
152,doc 153,belief,precis,research,benchmark,softwar,specif,standard,experi,machin,control
153,doc 154,discret,observ,experi,minim,sequenc,continu,avail,program,code,control
154,doc 155,java,experi,student,random,probabl,web,interfac,program,implement,measur
155,doc 156,pedagogi,academia,faculti,unit state,educ,product,avail,student,web,univers
156,doc 157,probabl,experi,manipul,web,reason,minim,perform,optim,learn,research
157,doc 158,student,judgment,strategi,indic,util,account,protocol,knowledg,inform,train
158,doc 159,independ variabl,faculti,survey,internet,web,publish,research,student,vision of moral scale,signific differ in score
159,doc 160,world wide web,web site,age,student,educ,publish,research,util,document,web
160,doc 161,indic,secur,experi,addit,identif,comput,gener,influenc of proactiv password restrict,minimum charact length reduc crackabl,use procedur for identif
161,doc 162,color,graphic,flexibl,packag,avail,size,visual,interact,interfac,experi
162,doc 163,random,linear,parallel,specif,function,measur,model,gener,design,nlmix procedur in sa
163,doc 164,experiment psycholog,teacher,advent,experi,softwar,age,complex,avail,student,internet
164,doc 165,servic provid,desir,internet,option,market,deliveri,network,cabl of best option,nich market segment,captur nich market
165,doc 166,ibm,busi,student,technolog,program,manag,ibm internship program,busi manag,mba student,fresh voic
166,doc 167,compani,posit,second quarter gloomi gdp report,economi,big,project,savvi cio,second,report,
167,doc 168,wavelet coeffici,parallel comput,wavelet,correl,cluster,autom,accuraci,util,speed,parallel
168,doc 169,polit,simul,vibrat,train,problem of turbogener vibrat,nuclear power plant,czech republ,problem,new staff,cast shadow
169,doc 170,pressur,select,strategi,captain order golfer,ryder cup match,game theori,final day,slate,momentum,team
170,doc 171,model,program,equit master surgic schedul,oper room time,integer-program model,administr save,credit,hospit,approach,room
171,doc 172,busi,product,univers,cooper,avail,govern,research,program,inform,small busi innov research program
172,doc 173,faculti,consult,student,case studi,benefit,research,continu,compani,industri,model
173,doc 174,inform technolog,publish,search,research,content,inform,manag,scienc,technolog,earli exampl of si
174,doc 175,world wide web,web site,precis,secur,account,univers,statist,optim,content,web
175,doc 176,consult,contract,compani,busi,research,industri,softwar,manag,design,implement
176,doc 177,optim,averag,structur,inform,new lower bound,optim inform rate,homogen access structur,new paramet,cover construct,k-degre
177,doc 178,qualiti of servic,client,resourc,valid,simul,optim,specif,dynam,chang,control
178,doc 179,probabl,optim,avail,output,identif,delay,research,specif,select,network
179,doc 180,machin,constraint,minim,avail,optim,competit ratio of list schedul,competit ratio,unavail period,onlin,period
180,doc 181,video,minim,search,complex,cost,random,effici,select,optim,new effici algorithm for rsp
181,doc 182,encod,comput,string let x,encod length k,string,simpl o,edit,run-length,distanc,algorithm
182,doc 183,vertic of differ partit set,subset of edg,subset,vertic,partit,hypercub,path of length,edg,bipartit graph,bound
183,doc 184,organ,signatur scheme,new societi,ident,verifi,signatur,scheme,respect,co-sign,guillou-quisquat
184,doc 185,quantum commun,probabl distribut,inform process,probabl,continu,mechan,nois,distribut,inform,oper phase-spac probabl distribut
185,doc 186,banach space,embed,separ,continu,function,product,real separ banach space x,embed of level-continu fuzzi set,level-continu fuzzi set,ascoli-arzela type theorem
186,doc 187,correl,posit,comput,interval-valu intuitionist fuzzi set,intuitionist fuzzi set,correl of intuitionist fuzzi set,centroid method,strength of relationship,fuzzi set,previou method
187,doc 188,approxim,univers,standard,gener,rough set approxim oper,famili of binari relat,standard notion of equival relat,binari relat,neighborhood oper,approxim oper
188,doc 189,function,numer represent of binari relat,binari relat,correspond binari relat,numer function,case,semiord,represent,error,multipl error function
189,doc 190,popul,econom,impact,addit,minim,structur,gener,model,differ type of connect,pretopolog approach for structur analysi
190,doc 191,perform evalu,databas,index,overhead,simul,experi,optim,perform,structur,effici
191,doc 192,time delay,observ,delay,control,critic time for control,element introduc time delay,libet,control decis,time,synthet simultan
192,doc 193,constraint,agent,programm,complex,industri,distribut,technolog,effici,program,model
193,doc 194,statist model,accuraci,observ,map,learn,statist,visual,converg,model,weight
194,doc 195,transpar,benefit,invest,packag,transport,cost,organ,select,model,plan
195,doc 196,inform process,consult,brain,simul,comput,inform,integr,propos framework for process mean,studi on mean process,mean of languag
196,doc 197,comput model,tune,reason,robust,addit,exchang,experi,learn,associ,function
197,doc 198,heart,impact,internet,global internet on trademark law,case of uzi nissan,multimillion-dollar legal battl,case of david,trademark disput,case,greedi opportunist
198,doc 199,servic provid,internet,govern,resourc,busi,organ,compani,control,law of local jurisdict,block of certain site
199,doc 200,poll,unit state,atm,risk,avail,account,internet,observ,reliabl,technolog
200,doc 201,size,function,specif,machin,comput,gener,handwritten text,handwritten,power,person digit assist
201,doc 202,linear quadrat regul,sequenc,vehicl,suffici condit,simul result,stabil,regul,minim,speed,chang
202,doc 203,paramet estim,separ,desir,avail,structur,sensor,parallel,perform,implement,design
203,doc 204,state estim,intuit,probabl,random,standard,integr,chang,perform,model,distribut
204,doc 205,program,code,function,pedagog tool in radar cours,plot ambigu function,matlab,puls,avoid loop,use,ambigu
205,doc 206,synchron motor,slide mode control,desir,experiment result,simul,linear,addit,implement,structur,control
206,doc 207,neural network,experiment result,simul,train,integr,network,chang,gener,control,off-lin train neural network
207,doc 208,dynam behavior,oper condit,feedback control,speed,tune,regul,desir,robust,structur,addit
208,doc 209,transient respons,scale factor,robust,simul result,tune,output,simul,implement,effici,measur
209,doc 210,linear motor,extern disturb,numer method,numer result,neural network,feedback control,wavelet,simul,robust,learn
210,doc 211,maximum likelihood estim,outlier,comput simul,presenc,desir,correl,robust,perform,approxim,simul
211,doc 212,reliabl,sensor,accuraci,averag,identif,coupl,probabl,organ,databas,select
212,doc 213,precis,correct,filter,probabl,simul,addit,linear,model,associ,dynam
213,doc 214,nois,separ,filter,complex,gener,fetal biomagnet record,two-step procedur for signal process,simpl signal space project,matern cardiac interfer,cardiac interfer
214,doc 215,bit,desir,interfac,averag,visual,train,perform,implement,design,comput
215,doc 216,heart,iter,patient,reason,sequenc,map,simul,experi,addit,optim
216,doc 217,linear,dynam,model,character of nonstationari multivari signal,analysi of event-rel data,variat bayesian algorithm,real electroencephalogram data,analysi,event-rel desynchron,algorithm
217,doc 218,artifici neural network,autom,publish,neural network,desir,classif,continu,posit,distribut,specif
218,doc 219,desir,nois,correl,select,visual,field,model,inform,wald test on sourc amplitud,requir number of sourc
219,doc 220,wavelet coeffici,complex dynam,wavelet transform,complex,pressur,separ,accuraci,observ,valid,wavelet
220,doc 221,distort measur,comput complex,viabil,vector quantiz,optim problem,outlier,cluster,price,smooth,sensit
221,doc 222,comput simul,interact,simul,packag,complex,observ,mechan,experi,model,comput
222,doc 223,finite-el method,comput cost,complex,separ,packag,account,valid,cost,map,addit
223,doc 224,accuraci,simul,embed,account,speed,gener,perform,model,device-onli simul use gaa msm,gener of millimet wave
224,doc 225,numer method,approxim,function,discret,complex,differenti,simul,linear,weight,integr
225,doc 226,spatial discret,comput time,reflect,flexibl,benchmark,indic,govern,accuraci,simul,discret
226,doc 227,compat,memori,measur,effici,novel bitlin sens scheme,number of sens amplifi,degrad of data-retent time,major obstacl in low-voltag dram,offset-cancel sense-amplifi scheme,low suppli voltag
227,doc 228,transact,engin,embed,fabric,memori,speed,map,implement,technolog,mobil person digit assist
228,doc 229,fabric,resolut,interfac,observ,measur,technolog,new type of switch scheme,degrad in signal-to-nois ratio,mu m cmo technolog,digital-to-analog convert
229,doc 230,oper frequenc,delay,design,techniqu for design phase-frequ detector,higher oper frequenc,ghz,pfd,faster frequenc acquisit,mu m cmo,convent pfd
230,doc 231,reduct,memori,coupl,nois,technolog,gener,high-voltag transistor scale circuit techniqu,high coupling-ratio cell technolog,maximum intern voltag,circuit techniqu
231,doc 232,memori,averag,index,implement,measur,technolog,tag cell in level,sens amplifi in level,mu m cmo technolog,sens amplifi
232,doc 233,relev,learn,knowledg,associ,posit,perform,program,induct logic program,spatial relat,proper background knowledg
233,doc 234,client,machin,account,implement,integr,concept of multipl user account,new featur of window xp,built-in capabl of termin servic,window xp,fast user switch
234,doc 235,reflect,code,fact,implement,gener,net common languag runtim,run time,emit,class,favorit regular express
235,doc 236,cost,avail,engin,option,price,benefit,probabl,function,softwar,manag
236,doc 237,averag,simul,function,model,simul in previou averag model,state-spac averag techniqu,variou damp effect,small-sign ac analysi,dc transfer function,activ role
237,doc 238,cost,engin,softwar,perform,compon,design,reduc prototyp cost,power suppli engin,flyback convert exampl,power suppli design
238,doc 239,children,virtual realiti,disabl,gender,softwar,program,indic,experi,research,knowledg
239,doc 240,belief,indic,content,web,learn,specif,research,measur,gener,structur
240,doc 241,teacher,student,educ,impact,specif,comput,design,efficaci of electron telecommun,effect of electron telecommun,interperson relationship
241,doc 242,complex,function,design,new method of systemolog analysi,procedur of object-ori design,function flow-typ object,result of develop,object-ori systemolog method,node-function-object class hierarchi,vestn
242,doc 243,associ,case of fuzzi data,fuzzi bayesian infer techniqu problem,bayesian decis procedur,concept of fuzzi,pseudofuzzi quantiti,fuzzi bayesian method,modus-ponen rule,princip concept,basic relationship
243,doc 244,initi state,matric,correct,linear,possibl variant,solut,modulo,safe problem,residu class,number
244,doc 245,avail,simul,gener,acceler simul,investig,class,acceler,numer exampl,evalu,repair
245,doc 246,minim,discret,optim,function,comput,control,distribut,highli accur comput discret scheme,quadrat minim function,optim control
246,doc 247,fuzzi set theori,identif,complex,measur,inform,basi of fuzzi valu,apparatu of fuzzi set theori,admiss degre of measur error,basi of fuzzi inform,problem of identif
247,doc 248,function,decomposit of boolean function,method of q-partit,theorem on simpl disjunct decomposit,new approach,decomposit of boolean,decomposit,n variabl,method,minterm
248,doc 249,account,random,function,mix central moment function,problem of nonlinear extrapol,nonlinear extrapol algorithm,nonlinear random depend,investig process,method,moment function
249,doc 250,matric,search,linear,method for solut,m-dimension lambda,propos method,method,solut,equat,kind
250,doc 251,compat,upper bound,minim,linear,compon,constraint,gener,minim set of solut,minim support set of solut,set of natur number criteria
251,doc 252,optim problem,size,code,optim,size of error-correct code,z-channel optim problem on graph,new lower bound,bound,formul,problem
252,doc 253,program,function,complet set of descriptolog oper,oper of introduct,concept of introduct,level of process,extract of abstract,elimin of abstract,descript process,intension concept
253,doc 254,simul result,bit,video,robust,metric,overhead,nois,simul,effici,control
254,doc 255,numer result,cost,web site,html,relev,size,content,manag,experi,associ
255,doc 256,transpar,vendor,supplier,govern,contract,internet,account,benefit,function,integr
256,doc 257,ccd camera,manipul,safeti,precis,indic,vehicl,autom,coupl,experi,imag
257,doc 258,internet protocol,internet,integr,embed,databas,util,web,protocol,strategi,softwar
258,doc 259,compat,indic,research,model,survey,posit,technolog,manag,perform,gener
259,doc 260,popul,person comput,resourc,softwar,inform,comput,effect of facil oper,electron popul data resourc,estim of popul,collect dose
260,doc 261,user interfac,util,precis,graphic,coupl,imag,memori,softwar,speed,addit
261,doc 262,polynomi,function,engin,gener,distribut,airi stress function method,gener solut in engin,gradient piezoelectr cantilev,piezoelectr cantilev,gener solut
262,doc 263,lifetim,sensit,memori,experi,approxim,observ,map,squeez state of light,quadratur phase oper of light,quantum state of light
263,doc 264,design constraint,quantum comput,decoher,qubit,encod,interact,engin,sequenc,optim,constraint
264,doc 265,stationari state,phase transit,mass,product,observ,market,addit,model,field,inform
265,doc 266,confid interv,statist,accuraci,econom,simul,approxim,distribut,nois,simul seri of differ length,major issu in financi econom
266,doc 267,coupl,simul,interact,model,minim,knowledg,dynam,differ type of behaviour,present simul of evacu process,proper combin of herd
267,doc 268,dynam behavior,sensit,complex,dynam,map,dynam transit,period motion,number of nonstop,bu stop,attractor
268,doc 269,cellular automata,popul,age,model,penna model in penna,sheep fluctuat in accord,cellular automata model,verhulst factor,quantiti,sheep
269,doc 270,option,price,integr,distribut,natur martingal for option price,wealth balanc of option,option price,natur martingal,levi distribut,simpl stochast calculu
270,doc 271,econom,market,quantum-lik descript of market,quantum game theori,quantum,descript,recent develop,approach,root,game
271,doc 272,throughput,cellular automata,separ,observ,averag,iter,size,distribut,dynam,model
272,doc 273,phase transit,numer simul,numer result,vehicl,separ,observ,speed,simul,model,analyt express for variou quantiti
273,doc 274,publish,complex,statist,mechan,applic of statist mechan apparatu,so-cal bagsik oscil,incorrect bank data,complex number,piotrowski,sladkowski
274,doc 275,presenc,busi,fact,reflect,size,observ,correl,model,model of independ busi,varianc of firm growth rate
275,doc 276,profit,exchang,avail,statist,size,market,sequenc,effici,measur,inform
276,doc 277,reason,evolut,observ,market,statist,addit,index,uncertainti,model,dynam
277,doc 278,exchang,correl,account,dynam,nonlinear time seri analysi,high-frequ currenc exchang data,applic of recurr quantif analysi,quantif of recurr plot,euro zone,time seri
278,doc 279,transact,option,risk,price,reliabl,market,account,identif,futur,standard
279,doc 280,observ,field,statist,compon,experi,effici,control,coher field,construct two-photon interfer,higher-ord quantum fluctuat
280,doc 281,boltzmann equat,vehicl,continu,reason,interact,evolut,addit,research,dynam,function
281,doc 282,transact,presenc,profit,web site,electron commerc,web,market,internet,busi,invest
282,doc 283,world wide web,web site,case studi,industri,indic,internet,market,util,web,presenc
283,doc 284,price,suppli chain,profit,transact,web site,internet,product,fact,busi,market
284,doc 285,comput complex,complex,reduct,imag,select,comput,affin invari of convex polygon,affin invari,complet set,object recognit
