,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
110,doc 111,learn of tradit subject area,entrepreneuri instinct,tradit school in america,project-bas instruct,action,school,differ approach,use of problem,tactic,creativ
111,doc 112,qualit emerg design studi,preservic secondari scienc teacher,web-bas cours,systemat inquiri,web-enhanc cours,time manag,intellectu scaffold,societi interact,open-end inquiri,discomfort
112,doc 113,pre-select relev web site,implement internet inquiri project,internet inquiri project,tenth-grad honor student,ecolog question,inquiri,entir internet,recommend,teacher,purpos
113,doc 114,alien rescu,problem-bas learn,problem-bas learn approach,sixth grader,meaning problem,develop of alien rescu,space scienc,busi field,use pbl,current educ research
114,doc 115,project-bas learn,project-bas learn pedagogi,advanc comput multimedia program,region state univers of louisiana,inservic teacher in southwestern louisiana,comput multimedia,cajun cultur,advanc in educ technolog,teacher,acadian tradit
115,doc 116,overhead slide,acet overhead slide present,optim human inform process,overhead slide for comprehens,learn outcom multimedia,inform complex,multimedia superior in facilit comprehens,multimedia present,neg impact of inform complex,low inform complex
116,doc 117,data analysi,real-tim tissu character,vivo raman,necessari signal process,data analysi of raman spectra,real-tim signal process,data analysi softwar,spectroscop data acquisit,classif of skin spectra,multivari data
117,doc 118,circuit model,model paramet,frequenc depend,effect of voice-coil inductor loss,separ element,loudspeak voice-coil,frequenc respons,ratio of core flux,effect on frequenc respons,paramet estim
118,doc 119,global algorithm,finit galoi field modulo q,specif problem of integ factor,dramat increas in memori,basic problem,cross phase boundari,solut space,comput complex,phase transit,statist mechan
119,doc 120,neural network model,memori recal of dynam pattern,nois effect,neural network,kind of nois effect,reason valu of nois,hippocampu,strength of extern input,entorhin cortex,oper of gate
120,doc 121,reson mode,decoupl track-follow control design,self-tun scheme,self-tun control scheme,integr gimbal structur,design method,disk,prototyp microactu,drive,decoupl
121,doc 122,magnet reson,nemat liquid crystal,store inform,strong intramolecular interact,spin state,bit,nemat liquid,liquid crystal,bit of inform,second weak puls
122,doc 123,earshel vibrat control activ noise-reduc,earshel vibrat control,broadband nois reduct,earshel use forc actuat,novel anr headset,activ nois control,aviat commun,consum audio,single-frequ real-tim control experi,vibrat
123,doc 124,high-ris build,rectangular room,traffic nois,open window,traffic nois predict method,traffic nois transmiss,effect nois reduct,mode coupl theori,activ nois control,experiment investig on coher
124,doc 125,ohio state univers librari,high-dens off-sit book storag facil,life of store materi,ohio,onlin catalog record,item inform patron,item,book,regular courier deliveri,storag facil bring
125,doc 126,standard for academ librari hour,servic for arl librari,hour of oper,associ for research librari,factor affect servic hour decis,nation standard,servic in academ librari,articl survey,ipe survey respond,academ librari
126,doc 127,legal refer question,basic legal web site,outlin use subject-specif web,author highlight,focu on statut,effort,answer,refer,attorney directori,web site
127,doc 128,small academ librari,need for librari build,effect of new technolog,librarianship,onlin catalog,librari access,typic duti,librarian,conveni,comput servic
128,doc 129,job advertis,electron librarianship,electron servic librarian,complex issu,electron resourc librarian,content analysi,major ramif,end-us environ,special titl,expert knowledg
129,doc 130,illiad,wall,case of illiad librari,custom,develop of illiad,on-campu custom,fact,depart,case,past
130,doc 131,client,number of compel reason,academ librari,starter,devic,note,librari,architectur,number,comput
131,doc 132,academ librari,broader commun,method for increas cooper,variou unit on campu,theme of academ librari,need of campu commun,commun partnership,eye project,distanc educ student,commun build effort
132,doc 133,internet search engin,celex english linguist databas,frequenc estim,object estim of word frequenc,tradit linguist corpu,word frequenc,tradit word frequenc analys,search engin,present research,particip rate of familiar
133,doc 134,present mean identif threshold,level use turbo pascal,fragment word,norm data of verbal stimuli,total set of snodgrass,vanderwart,word identif,screen-frag word,word,individu word
134,doc 135,kanji,web-access databas of characterist,japanes govern,jooyoo kanji-hyo,includ specif,variou characterist,file for window,oxford text archiv,previou research,list
135,doc 136,simpl vesa routin,regist,spitczok von brisinski,new method combin vesa,accept full-screen display,psycholog research,ultrafast display,display,video,mode
136,doc 137,respons characterist of pc keyboard,compar keyboard,rapid pace of model chang,respons devic in psycholog experi,mean of extern measur equip,avail of differ pc model,keyboard,averag keyboard delay time,joystick,propos method
137,doc 138,comput program for program schedul,oper schedul,perform for human subject,perform for nonhuman subject,schedul of reinforc,variabl interv schedul,nonhuman subject,accumul record,student respons,comput printer
138,doc 139,correct answer in multiple-choic question,avail java program,student perform on line,open sourc in order,edit of question involv,student score,java,type of content,sequenc of question,level of feedback
139,doc 140,web-bas tool,world wide web,javascript-bas experi gener,client-sid respons time measur,experiment design,guid step-by-step process,custom web page,procedur wextor,wextor,teach tool
140,doc 141,new web site,interact demonstr,littl prior knowledg,activ develop,advanc class,dynam element,experi in psycholog epsych,suffici depth of coverag,introductori class,epsych
141,doc 142,intern theori,induct design process,inform architectur,bottom-up design activ,induct process,design process,basic design compon,design problem,top-level goal,user attribut
142,doc 143,design children,appli inform architectur portion,inform architectur,appropri inform architectur,portal,systemat manner,children web portal,web portal,inform architect,portal object
143,doc 144,inform architectur,inform architectur educ,new inform architect,new curriculum,success inform architectur curriculum,profession educ,predict path,key content area,field of profession practic,university-level educ
144,doc 145,annual acm sigchi confer,summit,inform architect,recent emerg of ia,histor summit,asi,just,year,inform architectur,emerg of inform architectur
145,doc 146,public librari,usag choic,current consum market,internet on public librari use,potenti impact,internet servic,baselin data,public use,consum,analys
146,doc 147,fraction frequenc distribut,construct of fraction frequenc distribut,theoret fraction frequenc distribut,number of paper,simpl lotka law,fraction,consequ of lotka law,discret score,total count,number of author
147,doc 148,digit democraci,cultur level of internet user,major opinion of internet user,domin method,citat index usag,internet queri statist,relev document,search result,relev,user mind potenti
148,doc 149,lot-siz model,deterior for fluctuat demand,optim replenish schedul,optim replenish schedul exist,yang,inflat,fluctuat demand,al for origin paper,overal optim polici,optim polici
149,doc 150,reason life-test time,resolut iii experi,reliabl product,screen experi,correct identif of signific factor,minimum probabl of correct decis,maximum probabl of incorrect decis,identif rule,great challeng,degrad test
150,doc 151,warranti reserv,warranti cost,singl sale for single-compon item,warranti reserv fund,nonrenew minimal-repair warranti plan,stochast sale process,differ warranti polici,warranti period,event of product failur,estim of warranti cost
151,doc 152,mac os x,rapid develop of stimulu present,data collect procedur,advantag of use realbas,direct record of data,configur tool,effect of sonifi graph,configur,collect,project
152,doc 153,experiment time standard lab,real-tim data collect,rel merit of variou platform,theoret aspect of raw perform,millisecond time precis,millisecond precis test rig,benchmark precis,great care,confid limit,second present machin
153,doc 154,server-sid program for deliv experi,server-sid program for anim experi,anim,continu respons,experimenter-edit text file,simpl demonstr experi,unreason rate,deliv,discret,new experi
154,doc 155,web-bas experi,use netcloak,server-sid experi,common gateway interfac,cgi,particip browser,web server,random assign,elimin inconsist,script in program languag
155,doc 156,higher educ,develop world today,commerci product avail today,world of fierc commerci competit,open coursewar,univers campus,course-rel applic,web-bas tool,unit state,coursewar product
156,doc 157,probabl match produc suboptim perform,optim strategi,explicit instruct,classic probability-learn paradigm,web-bas experi,javascript,web experi,hors race scenario,previou research,frequent event
157,doc 158,latent semant analysi,human judgment,reader strategi,text sentenc,computer version of sert practic,world knowledg,prior text,use of sert strategi,basi of human judgment,verbal protocol
158,doc 159,in-class set student,tradit instrument,in-class web survey,in-class paper-and-pencil survey,take-hom web survey,take-hom paper-and-pencil survey,potenti differ,vision of moral scale,signific differ in score,differ mode of administr
159,doc 160,web site design,low cost of publish inform,document level literaci skill,design of educ web site,prolifer of world wide web,low cost,list of simpl way,web site,urban legend,credibl inform
160,doc 161,use procedur for identif,influenc of proactiv password restrict,user name-password combin,minimum charact length reduc crackabl,proactiv password check,addit restrict,weak method,accept password,charact in experi,length restrict
161,doc 162,multidimension data visual histor,scatter plot,data visual,advantag of multidimension data visual,avail softwar packag,three-dimension scatter plot,data desk,avail softwar,differ visual attribut,multivari data
162,doc 163,ordin outcom,nlmix procedur,mixed-effect model,repeat measur analysi of varianc,present analysi,nlmix procedur in sa,gener linear model,psycholog studi,use of mixed-effect model,linear predictor
163,doc 164,wide rang of experi gener,teacher instruct method,experiment psycholog,laboratori scienc,well-design experi,tradit stand-alon gener,advent of experi gener,sophist hypothes,appropri control group,undergradu train
164,doc 165,captur nich market,copper,last-mil access,nich,copper pair,nich market segment,network edg devic,nich applic,cabl of best option,high-spe internet signal
165,doc 166,ibm,ibm internship program,fresh voic,big idea,mba student,busi manag,big,computer-sci,mba,summer
166,doc 167,second quarter gloomi gdp report,savvi cio,project,big,economi,second,posit,compani,report,
167,doc 168,autom parallel imag registr techniqu,multipl multiplatform remot sens mission,correlation-bas automat registr algorithm,automat integr of digit data,wavelet-bas registr algorithm,choic of high-frequ wavelet featur,imag registr,edge-bas correl method,increas import,landsat themat mapper
168,doc 169,nuclear power plant,power plant,czech republ,problem of turbogener vibrat,polit,reserv,plant,new staff,cast shadow,power
169,doc 170,final day,ryder cup match,captain order golfer,team,game theori,slate,differ abil,game,order,momentum
170,doc 171,oper room time,hospit,integer-program model,equit master surgic schedul,room,administr save,integ,divis,credit,program
171,doc 172,small busi innov research program,obtain fund,busi,cooper project,turn,ideal,idea,product,govern,research
172,doc 173,industri student consult project,materi for case studi,real capabl of student,clear feedback,faculti,broad connect,local industri,crop of project,provid insight,consult
173,doc 174,sustain competit advantag,edelman prize finalist articl,earli exampl of si,manag scienc,privat sector applic,work,evid,competit,success,inclus
174,doc 175,play-off race statist,competit for basebal play-off spots-th,watch american sport tradit,minimum win threshold for team,optimization-bas play-off race statist,world wide web,play-off spot,major leagu basebal season,use optim techniqu,remain schedul
175,doc 176,revenu manag,revenu manag concept,pro revenu manag,opportun analysi studi,pro research,softwar develop practic,compani in nonairlin industri,new busi situat,pro,valu of rm
176,doc 177,homogen access structur,optim inform rate,new lower bound,cover construct,bound,new paramet,scheme,rate,k-degre,access
177,doc 178,degrad qo area,resourc partit,self-adjust qualiti of servic,control scheme,qo area,lowest prioriti client,differ prioriti class,qo self-adjust scheme,prioriti area,qo degrad
178,doc 179,optim rout polici,rout polici,specif output channel,number of accept output channel,best choic of output channel,toru,messag,select,specif,mesh
179,doc 180,unavail period,competit ratio of list schedul,competit ratio,minim makespan,machin,ident,onlin,constraint,paper,optim algorithm
180,doc 181,data block,assign storag techniqu random,new effici algorithm for rsp,well-known disk strip techniqu,optim solut for rsp,given batch of data block,retriev select problem,lower disk,video data,breadth-first search approach
181,doc 182,run-length,string,encod,string let x,encod length k,simpl o,distanc,edit,respect,simpl
182,doc 183,subset of edg,vertic of differ partit set,bipartit graph,hypercub,vertic,partit,subset,path of length,path,edg
183,doc 184,signatur scheme,signatur,new societi,orient,ident,verifi,guillou-quisquat,scheme,paper,respect
184,doc 185,oper phase-spac probabl distribut,quantum commun,quantum teleport of continu variabl,use tool,probabl distribut,extend phase-spac formal,inform process,theori,mechan,quantum
185,doc 186,banach space,level-continu fuzzi set,minkowski embed theorem,real separ banach space x,embed of level-continu fuzzi set,fuzzi set,isometr embed,cartesian product,embed,ascoli-arzela type theorem
186,doc 187,intuitionist fuzzi set,fuzzi set,interval-valu intuitionist fuzzi set,centroid method,correl of intuitionist fuzzi set,propos method,previou method,strength of relationship,centroid,paper
187,doc 188,rough set approxim oper,standard notion of equival relat,binari relat,famili of binari relat,neighborhood oper,finit univers,neighborhood,rough,extens of pawlak,notion
188,doc 189,binari relat,numer function,numer represent of binari relat,multipl error function,paper studi,correspond binari relat,represent,semiord,second case,error
